C4BE84	Texas Instruments.
303294	W-IE-NE-R Plein & Baus GmbH
0010EA	ADEPT TECHNOLOGY
0013A1	Crow Electronic Engeneering
E86D54	Digit Mobile Inc
64535D	Frauscher Sensortechnik
00247F	Nortel Networks
0050E1	NS TECH ELECTRONICS SDN BHD
ECF236	NEOMONTANA ELECTRONICS
D85DEF	Busch-Jaeger Elektro GmbH
F8A9DE	PUISSANCE PLUS
04E676	AMPAK Technology Inc.
0005E0	Empirix Corp.
00021C	Network Elements, Inc.
000DD8	BBN
0015A3	ARRIS International
24B0A9	Shanghai Mobiletek Communication Ltd.
003035	Corning Incorporated
F0DE71	Shanghai EDO Technologies Co.,Ltd.
345D10	Wytek
00143C	Rheinmetall Canada Inc.
001A22	eQ-3 Entwicklung GmbH
001FDF	Nokia Danmark A/S
003081	ALTOS C&C
001BD2	ULTRA-X ASIA PACIFIC Inc.
002574	KUNIMI MEDIA DEVICE Co., Ltd.
0015F4	Eventide
2C5FF3	Pertronic Industries
0003CC	Momentum Computer, Inc.
38BF33	NEC CASIO Mobile Communications
0090BF	CISCO SYSTEMS, INC.
642DB7	SEUNGIL ELECTRONICS
0022DA	ANATEK, LLC
000FE0	NComputing Co.,Ltd.
000F69	SEW Eurodrive GmbH & Co. KG
0006E9	Intime Corp.
38A53C	Veenstra Instruments
000EC6	ASIX ELECTRONICS CORP.
00C04A	GROUP 2000 AG
2CBE08	Apple
58696C	Fujian Ruijie Networks co, ltd
00031A	Beijing Broad Telecom Ltd., China
00103E	NETSCHOOLS CORPORATION
001675	ARRIS Group, Inc.
00900A	PROTON ELECTRONIC INDUSTRIAL CO., LTD.
EC3C5A	SHEN ZHEN HENG SHENG HUI DIGITAL TECHNOLOGY CO.,LTD
000D80	Online Development Inc
001CD5	ZeeVee, Inc.
001AEE	Shenztech Ltd
000AC5	Color Kinetics
60D0A9	Samsung Electronics Co.,Ltd
000C0F	Techno-One Co., Ltd
B0B32B	Slican Sp. z o.o.
000858	Novatechnology Inc.
005018	AMIT, Inc.
0020F4	SPECTRIX CORPORATION
002407	TELEM SAS
00C0F6	CELAN TECHNOLOGY INC.
C83168	eZEX corporation
70D931	Cambridge Industries Group Co Ltd.
0025F9	GMK electronic design GmbH
20BBC0	Cisco
F05F5A	Getriebebau NORD GmbH and Co. KG
000D65	CISCO SYSTEMS, INC.
001946	Cianet Industria e Comercio S/A
9000DB	Samsung Electronics Co.,Ltd
742D0A	Norfolk Elektronik AG
00016D	CarrierComm Inc.
00061F	Vision Components GmbH
0024BB	CENTRAL Corporation
0023E0	INO Therapeutics LLC
000ADA	Vindicator Technologies
000E51	tecna elettronica srl
000075	Nortel Networks
001A9B	ADEC & Parter AG
AA0004	DIGITAL EQUIPMENT CORPORATION
001225	ARRIS Group, Inc.
001AD7	Christie Digital Systems, Inc.
6CECEB	Texas Instruments
0005B8	Electronic Design Associates, Inc.
001B93	JC Decaux SA DNT
000875	Acorp Electronics Corp.
00C031	DESIGN RESEARCH SYSTEMS, INC.
00157E	Weidm眉ller Interface GmbH & Co. KG
001D73	Buffalo Inc.
00908F	AUDIO CODES LTD.
FC8B97	Shenzhen Gongjin Electronics Co.,Ltd
0024BD	Hainzl Industriesysteme GmbH
ECE90B	SISTEMA SOLUCOES ELETRONICAS LTDA - EASYTECH
4C16F1	zte corporation
A06A00	Verilink Corporation
000D4D	Ninelanes
001CA5	Zygo Corporation
000D10	Embedtronics Oy
000B95	eBet Gaming Systems Pty Ltd
00A09C	Xyplex, Inc.
68A86D	Apple
00C0EC	DAUPHIN TECHNOLOGY
000087	HITACHI, LTD.
3C081E	Beijing Yupont Electric Power Technology Co.,Ltd
045453	Apple
00C03F	STORES AUTOMATED SYSTEMS, INC.
00104B	3COM CORPORATION
004091	PROCOMP INDUSTRIA ELETRONICA
D45297	nSTREAMS Technologies, Inc.
0009F6	Shenzhen Eastern Digital Tech Ltd.
0012F0	Intel Corporate
00302E	Hoft & Wessel AG
50F520	Samsung Electronics Co.,Ltd
0015AA	Rextechnik International Co.,
000DDB	AIRWAVE TECHNOLOGIES INC.
44E08E	Cisco SPVTG
6C8D65	Wireless Glue Networks, Inc.
ACA213	Shenzhen Bilian electronic CO.,LTD
00169C	CISCO SYSTEMS, INC.
00C079	FONSYS CO.,LTD.
000DE4	DIGINICS, Inc.
002443	Nortel Networks
001539	Technodrive SRL
001080	METAWAVE COMMUNICATIONS
000375	NetMedia, Inc.
386645	OOSIC Technology CO.,Ltd
0015F7	Wintecronics Ltd.
109AB9	Tosibox Oy
00302D	QUANTUM BRIDGE COMMUNICATIONS
84DE3D	Crystal Vision Ltd
A0861D	Chengdu Fuhuaxin Technology co.,Ltd
0060FF	QuVis, Inc.
386BBB	ARRIS Group, Inc.
00073F	Woojyun Systec Co., Ltd.
002526	Genuine Technologies Co., Ltd.
00110C	Atmark Techno, Inc.
002498	CISCO SYSTEMS, INC.
0019F7	Onset Computer Corporation
001C89	Force Communications, Inc.
000EE2	Custom Engineering
00132E	ITian Coporation
0008A4	CISCO SYSTEMS, INC.
0010F3	Nexcom International Co., Ltd.
6CB350	Anhui comhigher tech co.,ltd
D0DFC7	Samsung Electronics Co.,Ltd
8C7F3B	ARRIS Group, Inc.
001BEF	Blossoms Digital Technology Co.,Ltd.
0021A4	Dbii Networks
00D0B7	INTEL CORPORATION
98BC99	Edeltech Co.,Ltd.
000B47	Advanced Energy
0016A7	AWETA G&P
3CC2E1	XINHUA CONTROL ENGINEERING CO.,LTD
F862AA	xn systems
0003A2	Catapult Communications
000D7F	MIDAS  COMMUNICATION TECHNOLOGIES PTE LTD ( Foreign Branch)
00169E	TV One Ltd
000F8A	WideView
009088	BAXALL SECURITY LTD.
7CF098	Bee Beans Technologies, Inc.
0018BE	ANSA Corporation
2C9127	Eintechno Corporation
282246	Beijing Sinoix Communication Co., LTD
00056D	Pacific Corporation
F46D04	ASUSTek COMPUTER INC.
00106B	SONUS NETWORKS, INC.
00107B	CISCO SYSTEMS, INC.
001586	Xiamen Overseas Chinese Electronic Co., Ltd.
002519	Viaas Inc
00D022	INCREDIBLE TECHNOLOGIES, INC.
A02195	Samsung Electronics Digital Imaging
001E08	Centec Networks Inc
00806F	ONELAN LTD.
BCC168	DinBox Sverige AB
000563	J-Works, Inc.
0010EF	DBTEL INCORPORATED
000DAD	Dataprobe, Inc.
0080B0	ADVANCED INFORMATION
001A65	Seluxit
002535	Minimax GmbH & Co KG
00A071	VIDEO LOTTERY TECHNOLOGIES,INC
00C027	CIPHER SYSTEMS, INC.
0014ED	Airak, Inc.
0020EB	CINCINNATI MICROWAVE, INC.
001C75	Segnet Ltd.
8C604F	CISCO SYSTEMS, INC.
001A29	Johnson Outdoors Marine Electronics, Inc
A4E9A3	Honest Technology Co., Ltd
E0A670	Nokia Corporation
000CA4	Prompttec Product Management GmbH
000A98	M+F Gwinner GmbH & Co
D8CF9C	Apple
000B85	CISCO SYSTEMS, INC.
3C1040	daesung network
00082B	Wooksung Electronics, Inc.
34EF44	2Wire
00809A	NOVUS NETWORKS LTD
001257	LeapComm Communication Technologies Inc.
A816B2	LG Electronics
20D390	Samsung Electronics Co.,Ltd
B8EE79	YWire Technologies, Inc.
00E0A0	WILTRON CO.
000253	Televideo, Inc.
0023ED	ARRIS Group, Inc.
04586F	Sichuan Whayer information industry Co.,LTD
844464	ServerU Inc
000C9D	UbeeAirWalk, Inc.
00A0EF	LUCIDATA LTD.
0060C9	ControlNet, Inc.
000AF0	SHIN-OH ELECTRONICS CO., LTD. R&D
002267	Nortel Networks
78542E	D-Link International
000BCE	Free2move AB
001E4F	Dell Inc.
0024C4	CISCO SYSTEMS, INC.
FC7CE7	FCI USA LLC
70F1A1	Liteon Technology Corporation
000429	Pixord Corporation
0002ED	DXO Telecom Co., Ltd.
D048F3	DATTUS Inc
9C207B	Apple
40EACE	FOUNDER BROADBAND NETWORK SERVICE CO.,LTD
002103	GHI Electronics, LLC
F08EDB	VeloCloud Networks
001C88	TRANSYSTEM INC.
8CEEC6	Precepscion Pty. Ltd.
0001C4	NeoWave, Inc.
001A52	Meshlinx Wireless Inc.
0090F2	CISCO SYSTEMS, INC.
8C11CB	ABUS Security-Center GmbH & Co. KG
18FE34	Espressif Inc.
18FF0F	Intel Corporate
00C0D0	RATOC SYSTEM INC.
0010F7	IRIICHI TECHNOLOGIES Inc.
00E0C4	HORNER ELECTRIC, INC.
78B81A	INTER SALES A/S
005071	AIWA CO., LTD.
00907B	E-TECH, INC.
3C18A0	Luxshare Precision Industry Co.,Ltd.
30786B	TIANJIN Golden Pentagon Electronics Co., Ltd.
00804F	DAIKIN INDUSTRIES, LTD.
009043	Tattile SRL
8891DD	Racktivity
344CA4	amazipoint technology Ltd.
8455A5	Samsung Elec Co.,Ltd
3C7DB1	Texas Instruments
0021B6	Triacta Power Technologies Inc.
0018FD	Optimal Technologies International Inc.
F80CF3	LG Electronics
90E2BA	Intel Corporate
002099	BON ELECTRIC CO., LTD.
0001CA	Geocast Network Systems, Inc.
002252	ZOLL Lifecor Corporation
00A0F2	INFOTEK COMMUNICATIONS, INC.
18922C	Virtual Instruments
001710	Casa Systems Inc.
10BAA5	GANA I&C CO., LTD
0020B8	PRIME OPTION, INC.
0050FC	EDIMAX TECHNOLOGY CO., LTD.
0007C4	JEAN Co. Ltd.
342F6E	Anywire corporation
001572	Red-Lemon
001F77	HEOL DESIGN
001144	Assurance Technology Corp
00064F	PRO-NETS Technology Corporation
ECBAFE	GIROPTIC
00907D	Lake Communications
102C83	XIMEA
000502	Apple
848E0C	Apple
00C08E	NETWORK INFORMATION TECHNOLOGY
000CB7	Nanjing Huazhuo Electronics Co., Ltd.
00A0BF	WIRELESS DATA GROUP MOTOROLA
6815D3	Zaklady Elektroniki i Mechaniki Precyzyjnej R&G S.A.
000D31	Compellent Technologies, Inc.
00210B	GEMINI TRAZE RFID PVT. LTD.
0007ED	Altera Corporation
14B1C8	InfiniWing, Inc.
000EE1	ExtremeSpeed Inc.
40BF17	Digistar Telecom. SA
3057AC	IRLAB LTD.
B8A3E0	BenRui Technology Co.,Ltd
401597	Protect America, Inc.
001DE5	CISCO SYSTEMS, INC.
0002AE	Scannex Electronics Ltd.
000DE1	Control Products, Inc.
80F62E	Hangzhou H3C Technologies Co., Limited
0025F1	ARRIS Group, Inc.
BC0F64	Intel Corporate
00D0F3	SOLARI DI UDINE SPA
0006A3	Bitran Corporation
0012EF	OneAccess SA
002346	Vestac
48D224	Liteon Technology Corporation
442B03	CISCO SYSTEMS, INC.
5C93A2	Liteon Technology Corporation
000D8E	Koden Electronics Co., Ltd.
00301A	SMARTBRIDGES PTE. LTD.
00CBBD	Cambridge Broadband Networks Ltd.
908C44	H.K ZONGMU TECHNOLOGY CO., LTD.
5C2ED2	ABC(XiSheng) Electronics Co.,Ltd
00147F	Thomson Telecom Belgium
003065	Apple
009077	ADVANCED FIBRE COMMUNICATIONS
002156	CISCO SYSTEMS, INC.
000116	Netspect Technologies, Inc.
60FACD	Apple
4C6E6E	Comnect Technology CO.,LTD
00A047	INTEGRATED FITNESS CORP.
D07E35	Intel Corporate
0003AD	Emerson Energy Systems AB
00067D	Takasago Ltd.
001929	2M2B Montadora de Maquinas Bahia Brasil LTDA
00D097	CISCO SYSTEMS, INC.
004016	ADC - Global Connectivity Solutions Division
A055DE	Pace plc
002628	companytec automa莽茫o e controle ltda.
000737	Soriya Co. Ltd.
0011C3	Transceiving System Technology Corporation
00067C	CISCO SYSTEMS, INC.
001A4D	GIGA-BYTE TECHNOLOGY CO.,LTD.
F07959	ASUSTek COMPUTER INC.
00200B	OCTAGON SYSTEMS CORP.
0090B1	CISCO SYSTEMS, INC.
7CF429	NUUO Inc.
2C8BF2	Hitachi Metals America Ltd
60128B	CANON INC.
0018F9	VVOND, Inc.
00119A	Alkeria srl
00808D	WESTCOAST TECHNOLOGY B.V.
344B50	ZTE Corporation
EC42F0	ADL Embedded Solutions, Inc.
549B12	Samsung Electronics
00A0AD	MARCONI SPA
000CFF	MRO-TEK LIMITED
48AA5D	Store Electronic Systems
2074CF	Shenzhen Voxtech Co.,Ltd
0010C9	MITSUBISHI ELECTRONICS LOGISTIC SUPPORT CO.
00C01C	INTERLINK COMMUNICATIONS LTD.
D89685	GoPro
001699	Tonic DVB Marketing Ltd
0060BE	WEBTRONICS
347E39	Nokia Danmark A/S
64A837	Juni Korea Co., Ltd
000A40	Crown Audio -- Harmanm International
00D01E	PINGTEL CORP.
000545	Internet Photonics
C8CD72	SAGEMCOM
606C66	Intel Corporate
001141	GoodMan Corporation
002239	Indiana Life Sciences Incorporated
000932	Omnilux
001515	Leipold+Co.GmbH
08D0B7	HISENSE ELECTRIC CO.,LTD.
EC5A86	Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd
0022BE	CISCO SYSTEMS, INC.
00097B	CISCO SYSTEMS, INC.
001D3B	Nokia Danmark A/S
002710	Intel Corporate
000AC7	Unication Group
ACCABA	Midokura Co., Ltd.
000E9D	Tiscali UK Ltd
002228	Breeze Innovations Ltd.
00C0C6	PERSONAL MEDIA CORP.
587FB7	SONAR INDUSTRIAL CO., LTD.
285767	Echostar Technologies Corp
74ECF1	Acumen
000343	Martin Professional A/S
001F1C	KOBISHI ELECTRIC Co.,Ltd.
001CC2	Part II Research, Inc.
001F38	POSITRON
000B1B	Systronix, Inc.
E47D5A	Beijing Hanbang Technology Corp.
D40129	Broadcom Corporation
000376	Graphtec Technology, Inc.
004097	DATEX DIVISION OF
000D78	Engineering & Security
A8B0AE	LEONI
642216	Shandong Taixin Electronic co.,Ltd
002274	FamilyPhone AB
F44E05	Cisco
0014CE	NF CORPORATION
0020A0	OA LABORATORY CO., LTD.
0080A3	Lantronix
507D02	BIODIT
0017E5	Texas Instruments
00305E	Abelko Innovation
08006A	ATT BELL LABORATORIES
0002BB	Continuous Computing Corp
D4EC86	LinkedHope Intelligent Technologies Co., Ltd
00DD0C	UNGERMANN-BASS INC.
001F72	QingDao Hiphone Technology Co,.Ltd
FC1186	Logic3 plc
2C5089	Shenzhen Kaixuan Visual Technology Co.,Limited
00DD09	UNGERMANN-BASS INC.
AC6FD9	Valueplus Inc.
1C4BD6	AzureWave
70A41C	Advanced Wireless Dynamics S.L.
000A1F	ART WARE Telecommunication Co., Ltd.
0020A6	Proxim Wireless
000494	Breezecom, Ltd.
DCC793	Nokia Corporation
080014	EXCELAN
000760	TOMIS Information & Telecom Corp.
B04545	YACOUB Automation GmbH
000D6B	Mita-Teknik A/S
0050EB	ALPHA-TOP CORPORATION
78995C	Nationz Technologies Inc
B836D8	Videoswitch
88DD79	Voltaire
002303	LITE-ON IT Corporation
000293	Solid Data Systems
000387	Blaze Network Products
000F90	CISCO SYSTEMS, INC.
B428F1	E-Prime Co., Ltd.
BCBBC9	Kellendonk Elektronik GmbH
0017B3	Aftek Infosys Limited
84DF0C	NET2GRID BV
00130E	Focusrite Audio Engineering Limited
000099	MTX, INC.
00072F	Intransa, Inc.
00004F	LOGICRAFT, INC.
00088D	Sigma-Links Inc.
D45251	IBT Ingenieurbureau Broennimann Thun
B435F7	Zhejiang Pearmain Electronics Co.ltd.
001604	Sigpro
50D274	Steffes Corporation
A0A23C	GPMS
006037	NXP Semiconductors
001FEB	Trio Datacom Pty Ltd
5056BF	Samsung Electronics Co.,LTD
00504C	Galil Motion Control
00137F	CISCO SYSTEMS, INC.
002193	Videofon MV
80C5E6	Microsoft Corporation
0022C7	SEGGER Microcontroller GmbH & Co. KG
BC0200	Stewart Audio
02608C	3COM CORPORATION
001A3A	Dongahelecomm
000125	YAESU MUSEN CO., LTD.
800A06	COMTEC co.,ltd
001F4E	ConMed Linvatec
5CF207	Speco Technologies
3C83B5	Advance Vision Electronics Co. Ltd.
080371	KRG CORPORATE
CCFCB1	Wireless Technology, Inc.
0000A7	NETWORK COMPUTING DEVICES INC.
D84A87	OI ELECTRIC CO.,LTD
94F19E	HUIZHOU MAORONG INTELLIGENT TECHNOLOGY CO.,LTD
40BA61	Arima Communications Corp.
080066	AGFA CORPORATION
002499	Aquila Technologies
BCF2AF	devolo AG
000AA4	SHANGHAI SURVEILLANCE TECHNOLOGY CO,LTD
EC4644	TTK SAS
001AC4	2Wire, Inc
0030A0	TYCO SUBMARINE SYSTEMS, LTD.
0080C5	NOVELLCO DE MEXICO
00C0E8	PLEXCOM, INC.
34466F	HiTEM Engineering
0018B7	D3 LED, LLC
00503B	MEDIAFIRE CORPORATION
0060E5	FUJI AUTOMATION CO., LTD.
080045	CONCURRENT COMPUTER CORP.
00E0EE	MAREL HF
50F0D3	Samsung Electronics Co.,Ltd
0090EE	PERSONAL COMMUNICATIONS TECHNOLOGIES
0026DC	Optical Systems Design
000C5B	HANWANG TECHNOLOGY CO.,LTD
8432EA	ANHUI WANZTEN P&T CO., LTD
2CB0DF	Soliton Technologies Pvt Ltd
000B2F	bplan GmbH
5474E6	Webtech Wireless
009075	NEC DO BRASIL S.A.
001CA1	AKAMAI TECHNOLOGIES, INC.
64B64A	ViVOtech, Inc.
0C3C65	Dome Imaging Inc
0015C6	CISCO SYSTEMS, INC.
0017C4	Quanta Microsystems, INC.
001E3E	KMW Inc.
004025	MOLECULAR DYNAMICS
3CFB96	Emcraft Systems LLC
00A080	Tattile SRL
D4A928	GreenWave Reality Inc
7426AC	Cisco
008020	NETWORK PRODUCTS
0012A6	Dolby Australia
0C771A	Apple
00256E	Van Breda B.V.
00D038	FIVEMERE, LTD.
00603E	CISCO SYSTEMS, INC.
000A5B	Power-One as
00C01F	S.E.R.C.E.L.
000350	BTICINO SPA
0030D0	Tellabs
C42C03	Apple
002191	D-Link Corporation
B4D8DE	iota Computing, Inc.
00C0BC	TELECOM AUSTRALIA/CSSC
3497FB	ADVANCED RF TECHNOLOGIES INC
00E07B	BAY NETWORKS
002235	Strukton Systems bv
0012BE	Astek Corporation
001182	IMI Norgren Ltd
001979	Nokia Danmark A/S
00C09D	DISTRIBUTED SYSTEMS INTL, INC
0018BD	SHENZHEN DVBWORLD TECHNOLOGY CO., LTD.
001AE6	Atlanta Advanced Communications Holdings Limited
002420	NetUP Inc.
9CCAD9	Nokia Corporation
DC7144	Samsung Electro Mechanics
0000A1	MARQUETTE ELECTRIC CO.
000525	Puretek Industrial Co., Ltd.
EC63E5	ePBoard Design LLC
001600	CelleBrite Mobile Synchronization
D48FAA	Sogecam Industrial, S.A.
181E78	SAGEMCOM
0000D1	ADAPTEC INCORPORATED
00259B	Beijing PKUNITY Microsystems Technology Co., Ltd
00045C	Mobiwave Pte Ltd
00179A	D-Link Corporation
38EE9D	Anedo Ltd.
000336	Zetes Technologies
B85810	NUMERA, INC.
90356E	Vodafone Omnitel N.V.
9C3AAF	Samsung Electronics Co.,Ltd
C80258	ITW GSE ApS
001634	Mathtech, Inc.
001F24	DIGITVIEW TECHNOLOGY CO., LTD.
2437EF	EMC Electronic Media Communication SA
64AE0C	CISCO SYSTEMS, INC.
000D06	Compulogic Limited
001FC6	ASUSTek COMPUTER INC.
00168D	KORWIN CO., Ltd.
00259E	Huawei Technologies Co., Ltd.
000696	Advent Networks
0014D1	TRENDnet
50CCF8	Samsung Electro Mechanics
0007CD	Kumoh Electronic Co, Ltd
3C8C40	Hangzhou H3C Technologies Co., Limited
00114E	690885 Ontario Inc.
000BF0	MoTEX Products Co., Ltd.
B05CE5	Nokia Corporation
00112B	NetModule AG
DCAD9E	GreenPriz
20ED74	Ability enterprise co.,Ltd.
000F6D	Midas Engineering
4062B6	Tele system communication
001F89	Signalion GmbH
00E0A4	ESAOTE S.p.A.
000CC4	Tiptel AG
0008E2	CISCO SYSTEMS, INC.
004005	ANI COMMUNICATIONS INC.
009009	I Controls, Inc.
0050E6	HAKUSAN CORPORATION
0011EA	IWICS Inc.
0006FA	IP SQUARE Co, Ltd.
AC40EA	C&T Solution Inc.
38D82F	zte corporation
0015AC	Capelon AB
0003DB	Apogee Electronics Corp.
00108D	Johnson Controls, Inc.
B817C2	Apple
000AF1	Clarity Design, Inc.
000C9E	MemoryLink Corp.
3C3888	ConnectQuest, llc
20014F	Linea Research Ltd
0026C5	Guangdong Gosun Telecommunications Co.,Ltd
4097D1	BK Electronics cc
746F3D	Contec GmbH
0016C1	Eleksen Ltd
000BBE	CISCO SYSTEMS, INC.
001595	Quester Tangent Corporation
F0F644	Whitesky Science & Technology Co.,Ltd.
000019	APPLIED DYNAMICS INTERNATIONAL
9866EA	Industrial Control Communications, Inc.
000C38	TelcoBridges Inc.
34AAEE	Mikrovisatos Servisas UAB
BC3AEA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD.
000A2E	MAPLE NETWORKS CO., LTD
E4FA1D	PAD Peripheral Advanced Design Inc.
4846F1	Uros Oy
9C8E99	Hewlett-Packard Company
001DCA	PAV Electronics Limited
006001	InnoSys, Inc.
000B7A	L-3 Linkabit
0012CD	ASEM SpA
001D29	Doro AB
00150A	Sonoa Systems, Inc
105172	HUAWEI TECHNOLOGIES CO.,LTD
00071C	AT&T Fixed Wireless Services
0010A8	RELIANCE COMPUTER CORP.
0001A8	Welltech Computer Co., Ltd.
002489	Vodafone Omnitel N.V.
7CDD90	Shenzhen Ogemray Technology Co., Ltd.
404022	ZIV
0030FF	DATAFAB SYSTEMS, INC.
0050FD	VISIONCOMM CO., LTD.
0000D5	MICROGNOSIS INTERNATIONAL
0009B1	Kanematsu Electronics, Ltd.
BC51FE	Swann Communications Pty Ltd
B43E3B	Viableware, Inc
E4DD79	En-Vision America, Inc.
002436	Apple
A895B0	Aker Subsea Ltd
000B70	Load Technology, Inc.
00233B	C-Matic Systems Ltd
00C008	SECO SRL
0006B2	Linxtek Co.
001DDA	Mikroelektronika spol. s r. o.
9C65F9	AcSiP Technology Corp.
84FE9E	RTC Industries, Inc.
008CFA	Inventec Corporation
8425DB	Samsung Electronics Co.,Ltd
001181	InterEnergy Co.Ltd,
001B17	Palo Alto Networks
001494	ESU AG
0007E5	Coup Corporation
B09FBA	Apple
000EC1	MYNAH Technologies
000AC6	Overture Networks.
1C5216	DONGGUAN HELE ELECTRONICS CO., LTD
001443	Consultronics Europe Ltd
001215	iStor Networks, Inc.
0005FE	Traficon N.V.
006094	IBM Corp
086266	ASUSTek COMPUTER INC.
000425	Atmel Corporation
00900B	LANNER ELECTRONICS, INC.
000233	Mantra Communications, Inc.
00050A	ICS Spa
005063	OY COMSEL SYSTEM AB
00C01D	GRAND JUNCTION NETWORKS, INC.
001B41	General Infinity Co.,Ltd.
34A843	KYOCERA Display Corporation
0019F9	TDK-Lambda
00130B	Mextal B.V.
5CD41B	UCZOON Technology Co., LTD
002275	Belkin International Inc.
C4AD21	MEDIAEDGE Corporation
00256D	Broadband Forum
742B62	Fujitsu Limited
00806D	CENTURY SYSTEMS CORP.
000D86	Huber + Suhner AG
0016A9	2EI
44334C	Shenzhen Bilian electronic CO.,LTD
84DBFC	Alcatel-Lucent
001669	MRV Communication (Networks) LTD
90EF68	ZyXEL Communications Corporation
C894D2	Jiangsu Datang  Electronic Products Co., Ltd
BC71C1	XTrillion, Inc.
0014C7	Nortel
1889DF	CerebrEX Inc.
8462A6	EuroCB (Phils), Inc.
001EA1	Brunata a/s
001161	NetStreams, LLC
000372	ULAN
00114D	Atsumi Electric Co.,LTD.
0016B9	ProCurve Networking
0025B0	Schmartz Inc
00163D	Tsinghua Tongfang Legend Silicon Tech. Co., Ltd.
000144	EMC Corporation
CC69B0	Global Traffic Technologies, LLC
DC07C1	HangZhou QiYang Technology Co.,Ltd.
000DFD	Huges Hi-Tech Inc.,
54112F	Sulzer Pump Solutions Finland Oy
001D80	Beijing Huahuan Eletronics Co.,Ltd
00A0FB	TORAY ENGINEERING CO., LTD.
00908B	Tattile SRL
000977	Brunner Elektronik AG
001596	ARRIS International
002359	Benchmark Electronics ( Thailand ) Public Company Limited
0002D3	NetBotz, Inc.
00024A	CISCO SYSTEMS, INC.
004019	AEON SYSTEMS, INC.
9C4E20	CISCO SYSTEMS, INC.
88BA7F	Qfiednet Co., Ltd.
94AAB8	Joview(Beijing) Technology Co. Ltd.
141330	Anakreon UK LLP
D831CF	Samsung Electronics Co.,Ltd
00034D	Chiaro Networks, Ltd.
205A00	Coval
000B6C	Sychip Inc.
001B72	Sicep s.p.a.
E804F3	Throughtek Co., Ltd.
001553	Cytyc Corporation
F45F69	Matsufu Electronics distribution Company
00060E	IGYS Systems, Inc.
001347	Red Lion Controls, LP
0013C0	Trix Tecnologia Ltda.
001678	SHENZHEN BAOAN GAOKE ELECTRONICS CO., LTD
002444	Nintendo Co., Ltd.
00264C	Shanghai DigiVision Technology Co., Ltd.
00266B	SHINE UNION ENTERPRISE LIMITED
0001D9	Sigma, Inc.
001605	YORKVILLE SOUND INC.
6C7039	Novar GmbH
D4522A	TangoWiFi.com
9CE1D6	Junger Audio-Studiotechnik GmbH
001A97	fitivision technology Inc.
001748	Neokoros Brasil Ltda
00018A	ROI COMPUTER AG
5014B5	Richfit Information Technology Co., Ltd
00174D	DYNAMIC NETWORK FACTORY, INC.
843838	Samsung Electro Mechanics co., LTD.
00088B	Tropic Networks Inc.
001BD5	CISCO SYSTEMS, INC.
0019E3	Apple
002126	Shenzhen Torch Equipment Co., Ltd.
009035	ALPHA TELECOM, INC.
001A4A	Qumranet Inc.
00C07D	RISC DEVELOPMENTS LTD.
00264E	Rail & Road Protec GmbH
A0F3E4	Alcatel Lucent IPD
001135	Grandeye Ltd
00D0D1	Sycamore Networks
000D42	Newbest Development Limited
000C11	NIPPON DEMPA CO.,LTD.
001D1F	Siauliu Tauro Televizoriai, JSC
00609E	ASC X3 - INFORMATION TECHNOLOGY STANDARDS SECRETARIATS
ACCF5C	Apple
804731	Packet Design, Inc.
001AAC	Corelatus AB
003045	Village Networks, Inc. (VNI)
40406B	Icomera
3400A3	HUAWEI TECHNOLOGIES CO.,LTD
000477	Scalant Systems, Inc.
002454	Samsung Electronics CO., LTD
0019B7	Nokia Danmark A/S
006071	MIDAS LAB, INC.
00101F	CISCO SYSTEMS, INC.
0080D4	CHASE RESEARCH LTD.
6C22AB	Ainsworth Game Technology
000F9D	DisplayLink (UK) Ltd
0010BC	Aastra Telecom
4C48DA	Beijing Autelan Technology Co.,Ltd
000DE9	Napatech Aps
002483	LG Electronics
B8DF6B	SpotCam Co., Ltd.
000FFA	Optinel Systems, Inc.
001DE1	Intel Corporate
00226C	LinkSprite Technologies, Inc.
00608C	3COM CORPORATION
0001A4	Microlink Corporation
0024B7	GridPoint, Inc.
8486F3	Greenvity Communications
001680	Bally Gaming + Systems
0040F0	MicroBrain,Inc.
